#Compound	Isotopolog	m/z	Tolerance [mmu]	z
C20H39O	M0	295.29954	2	1
C20H39O	13C	296.30290	2	1
C20H39O	2H	296.30582	2	1
C20H39O	17O	296.30376	2	1
C20H39O	18O	297.30379	2	1
C20H37	M0	277.28898	2	1
C20H37	13C	278.29233	2	1
C20H37	2H	278.29525	2	1
C20H40O	M0	296.30737	2	1
C20H40O	13C	297.31072	2	1
C20H40O	2H	297.31364	2	1
C20H40O	17O	297.31158	2	1
C20H40O	18O	298.31161	2	1
C4H7O	M0	71.04914	2	1
C4H7O	13C	72.05250	2	1
C4H7O	2H	72.05542	2	1
C4H7O	17O	72.05336	2	1
C4H7O	18O	73.05339	2	1
C5H9O	M0	85.06479	2	1
C5H9O	13C	86.06815	2	1
C5H9O	2H	86.07107	2	1
C5H9O	17O	86.06901	2	1
C5H9O	18O	87.06904	2	1
C6H11O	M0	99.08044	2	1
C6H11O	13C	100.08380	2	1
C6H11O	2H	100.08672	2	1
C6H11O	17O	100.08466	2	1
C6H11O	18O	101.08469	2	1
C7H13O	M0	113.09609	2	1
C7H13O	13C	114.09945	2	1
C7H13O	2H	114.10237	2	1
C7H13O	17O	114.10031	2	1
C7H13O	18O	115.10034	2	1
C8H15O	M0	127.11174	2	1
C8H15O	13C	128.11510	2	1
C8H15O	2H	128.11802	2	1
C8H15O	17O	128.11596	2	1
C8H15O	18O	129.11599	2	1
C9H17O	M0	141.12739	2	1
C9H17O	13C	142.13075	2	1
C9H17O	2H	142.13367	2	1
C9H17O	17O	142.13161	2	1
C9H17O	18O	143.13164	2	1
C4H7	M0	55.05423	2	1
C4H7	13C	56.05758	2	1
C4H7	2H	56.06050	2	1
C4H9	M0	57.06988	2	1
C4H9	13C	58.07323	2	1
C4H9	2H	58.07615	2	1
C5H7	M0	67.05423	2	1
C5H7	13C	68.05758	2	1
C5H7	2H	68.06050	2	1
C5H9	M0	69.06988	2	1
C5H9	13C	70.07323	2	1
C5H9	2H	70.07615	2	1
C5H11	M0	71.08553	2	1
C5H11	13C	72.08888	2	1
C5H11	2H	72.09180	2	1
C6H9	M0	81.06988	2	1
C6H9	13C	82.07323	2	1
C6H9	2H	82.07615	2	1
C6H11	M0	83.08553	2	1
C6H11	13C	84.08888	2	1
C6H11	2H	84.09180	2	1
C6H13	M0	85.10118	2	1
C6H13	13C	86.10453	2	1
C6H13	2H	86.10745	2	1
C7H11	M0	95.08553	2	1
C7H11	13C	96.08888	2	1
C7H11	2H	96.09180	2	1
C7H13	M0	97.10118	2	1
C7H13	13C	98.10453	2	1
C7H13	2H	98.10745	2	1
C7H15	M0	99.11683	2	1
C7H15	13C	100.12018	2	1
C7H15	2H	100.12310	2	1
C8H13	M0	109.10118	2	1
C8H13	13C	110.10453	2	1
C8H13	2H	110.10745	2	1
C8H15	M0	111.11683	2	1
C8H15	13C	112.12018	2	1
C8H15	2H	112.12310	2	1
C8H17	M0	113.13248	2	1
C8H17	13C	114.13583	2	1
C8H17	2H	114.13875	2	1
C9H15	M0	123.11683	2	1
C9H15	13C	124.12018	2	1
C9H15	2H	124.12310	2	1
C9H17	M0	125.13248	2	1
C9H17	13C	126.13583	2	1
C9H17	2H	126.13875	2	1
C9H19	M0	127.14813	2	1
C9H19	13C	128.11510	2	1
C9H19	2H	128.11802	2	1
C10H17	M0	137.13248	2	1
C10H17	13C	138.13583	2	1
C10H17	2H	138.13875	2	1
C10H19	M0	139.14813	2	1
C10H19	13C	140.15148	2	1
C10H19	2H	140.15440	2	1
C11H19	M0	151.14813	2	1
C11H19	13C	152.15148	2	1
C11H19	2H	152.15440	2	1
C11H21	M0	153.16378	2	1
C11H21	13C	154.16713	2	1
C11H21	2H	154.17005	2	1
C12H21	M0	165.16378	2	1
C12H21	13C	166.16713	2	1
C12H21	2H	166.17005	2	1
C12H23	M0	167.17943	2	1
C12H23	13C	168.18278	2	1
C12H23	2H	168.18570	2	1
C13H23	M0	179.17943	2	1
C13H23	13C	180.18278	2	1
C13H23	2H	180.18570	2	1
C13H25	M0	181.19508	2	1
C13H25	13C	182.19843	2	1
C13H25	2H	182.20135	2	1
C14H25	M0	193.19508	2	1
C14H25	13C	194.19843	2	1
C14H25	2H	194.20135	2	1
C14H27	M0	195.21073	2	1
C14H27	13C	196.21408	2	1
C14H27	2H	196.21700	2	1
