filename,ID,date,replicate,conc.std,time_min,time_max,deltaC,deltaH,deltaOH,deltaAPCI,deltaO,deltaO18
H2210034,CHLA,19.10.22,2,5ug,0,46,-36.43,-314.72,0,0,0,0
H2210049,CHLA,20.10.22,1,5ug,0,46,-36.43,-314.72,0,0,0,0
H2210051,CHLA,20.10.22,1,5ug,0,46,-36.43,-314.72,0,0,0,0
H2210057,CHLA,20.10.22,1,5ug,0,46,-36.43,-314.72,0,0,0,0
H2210033,CHLA,19.10.22,0,5ug,0,25,-36.43,-314.72,0,0,0,0
H2307074,Spinach,18.07.23,1,5ug,0,46,-35.65,-252.7,0,0,0,0
H2307085,Spinach,19.07.23,2,5ug,0,46,-35.65,-252.7,0,0,0,0
H2307095,Spinach,20.07.23,3,5ug,0,46,-35.65,-252.7,0,0,0,0
H2307073,Spinach,18.07.23,1,5ug,0,10,-35.65,-252.7,0,0,0,0
H2210023,STD,19.10.22,1,5ug,0,46,-20.3,-251.38,0,0,0,0
H2210027,STD,19.10.22,2,5ug,0,46,-20.3,-251.38,0,0,0,0
H2210046,STD,20.10.22,1,5ug,0,46,-20.3,-251.38,0,0,0,0
H2307071,STD,18.07.23,1,5ug,0,46,-20.3,-251.38,0,0,0,0
H2307083,STD,19.07.23,2,5ug,0,46,-20.3,-251.38,0,0,0,0
H2307093,STD,20.07.23,3,5ug,0,46,-20.3,-251.38,0,0,0,0
H2210022,STD,19.10.22,0,5ug,0,25,-20.3,-251.38,0,0,0,0
